brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
5061.0,sold,224900.0,3.0,2.0,,604180.0,Cookeville,Tennessee,38501.0,1255.0,2022-03-31
22671.0,sold,119900.0,3.0,1.0,0.16,456597.0,Florissant,Missouri,63031.0,962.0,2021-12-30
22611.0,sold,699950.0,4.0,4.0,0.05,981596.0,Camarillo,California,93012.0,2070.0,2022-01-04
22611.0,for_sale,1050000.0,3.0,2.0,1.84,1281827.0,Hollister,California,95023.0,1700.0,1996-11-05
107912.0,for_sale,600000.0,4.0,2.0,0.78,77193.0,Stamford,Connecticut,6905.0,2489.0,
43841.0,for_sale,182000.0,3.0,2.0,0.03,1301240.0,Philadelphia,Pennsylvania,19120.0,1290.0,2005-06-22
21198.0,for_sale,489000.0,3.0,2.0,0.22,571562.0,Midlothian,Texas,76065.0,1990.0,
16829.0,for_sale,450000.0,2.0,2.0,,545846.0,Chicago,Illinois,60616.0,1240.0,2018-08-17
41498.0,sold,210000.0,2.0,3.0,0.02,758577.0,Brandon,Florida,33510.0,1110.0,2022-04-13
26543.0,sold,275000.0,2.0,2.0,0.14,568771.0,Rockledge,Florida,32955.0,1275.0,2021-11-23
109987.0,for_sale,238000.0,3.0,2.0,0.11,1401451.0,San Antonio,Texas,78222.0,1310.0,2020-03-27
43810.0,for_sale,399000.0,3.0,2.0,0.16,55872.0,Conroe,Texas,77385.0,1803.0,
53567.0,for_sale,159999.0,2.0,1.0,0.39,355863.0,Cherryville,North Carolina,28021.0,844.0,
10541.0,for_sale,99000.0,3.0,1.0,0.11,67878.0,Galax,Virginia,24333.0,1018.0,
22949.0,for_sale,775000.0,4.0,2.0,0.23,1635098.0,Rancho Cucamonga,California,91730.0,2011.0,2006-04-26
105798.0,sold,309990.0,3.0,2.0,0.16,624373.0,Casa Grande,Arizona,85122.0,1505.0,2022-02-25
28223.0,sold,1299921.0,3.0,2.0,0.18,1060952.0,La Crescenta,California,91214.0,1743.0,2022-03-29
79234.0,for_sale,829900.0,6.0,4.0,0.13,1598406.0,Vineyard,Utah,84059.0,3860.0,
16202.0,sold,167950.0,2.0,2.0,0.12,996275.0,El Paso,Texas,79904.0,1519.0,2022-03-15
47173.0,sold,409900.0,2.0,2.0,,920995.0,Birmingham,Alabama,35203.0,1297.0,2022-01-04
18985.0,sold,415000.0,5.0,4.0,,173875.0,McDonough,Georgia,30253.0,4865.0,2022-01-14
270.0,for_sale,149900.0,2.0,1.0,0.46,1583309.0,Seabrook,Texas,77586.0,994.0,2016-02-15
56908.0,sold,228419.0,3.0,2.0,0.15,977821.0,Broken Arrow,Oklahoma,74014.0,1246.0,2022-02-11
23592.0,for_sale,185000.0,2.0,1.0,0.13,58673.0,Camden Wyoming,Delaware,19934.0,910.0,
87997.0,for_sale,268750.0,3.0,2.0,0.12,128267.0,Horizon City,Texas,79928.0,1515.0,
62193.0,for_sale,100000.0,2.0,1.0,0.28,736816.0,New Caney,Texas,77357.0,1300.0,
105021.0,for_sale,360000.0,4.0,3.0,0.23,1772133.0,Winder,Georgia,30680.0,3280.0,2018-06-29
81468.0,for_sale,375000.0,4.0,3.0,0.24,538993.0,Lawrenceville,Georgia,30045.0,2600.0,2022-04-18
109950.0,for_sale,95500.0,2.0,1.0,0.1,1180570.0,Sherman,Texas,75090.0,1034.0,
45038.0,sold,257500.0,3.0,2.0,0.16,865891.0,Aurora,Illinois,60502.0,1336.0,2022-04-11
31124.0,for_sale,1200000.0,3.0,2.0,6.01,1328724.0,Denton,Texas,76208.0,2376.0,
50532.0,sold,905000.0,4.0,3.0,0.15,587571.0,Canyon Country,California,91351.0,2243.0,2022-03-04
53636.0,sold,190000.0,3.0,2.0,,316681.0,Sylmar,California,91342.0,1457.0,2022-03-17
82946.0,sold,350000.0,5.0,2.0,0.1,742950.0,Hyattsville,Maryland,20782.0,1233.0,2022-02-18
15408.0,sold,280000.0,3.0,2.0,0.75,1383001.0,El Prado,New Mexico,87529.0,1392.0,2021-11-15
29212.0,for_sale,634990.0,4.0,3.0,,907138.0,Saint Johns,Florida,32259.0,2459.0,2021-04-16
8733.0,sold,549000.0,4.0,3.0,0.27,677854.0,Wheaton,Illinois,60187.0,2676.0,2022-04-04
92888.0,for_sale,1500000.0,5.0,5.0,16.1,1731845.0,Huntsville,Texas,77340.0,6877.0,
91332.0,for_sale,99900.0,2.0,2.0,,193479.0,Milwaukee,Wisconsin,53224.0,865.0,2021-04-15
54097.0,sold,232900.0,,,0.1,837927.0,Saint Louis,Missouri,63104.0,2560.0,2022-03-28
69963.0,sold,435365.0,3.0,2.0,1.0,45747.0,Springtown,Texas,76082.0,2261.0,2022-04-11
17842.0,for_sale,405000.0,4.0,3.0,,1343935.0,Williamsburg,Virginia,23188.0,2755.0,2007-08-13
101751.0,for_sale,925000.0,4.0,3.0,0.18,364182.0,Glendora,California,91741.0,2461.0,2001-02-22
109978.0,sold,429900.0,4.0,1.0,0.1,1055490.0,Sacramento,California,95817.0,1140.0,2022-02-22
53090.0,for_sale,499900.0,5.0,4.0,0.41,265123.0,Lilburn,Georgia,30047.0,4151.0,2017-07-19
69065.0,for_sale,29900.0,3.0,2.0,0.17,669291.0,Scottsville,Kentucky,42164.0,1024.0,
51874.0,sold,385000.0,1.0,1.0,,202643.0,Alexandria,Virginia,22314.0,676.0,2021-10-27
85090.0,for_sale,875000.0,4.0,4.0,8.55,505628.0,Saint Cloud,Florida,34771.0,3060.0,2015-06-11
80108.0,for_sale,500900.0,4.0,3.0,,1921827.0,Suffolk,Virginia,23434.0,2400.0,
42346.0,for_sale,347500.0,4.0,3.0,0.2,1481922.0,Harrisburg,South Dakota,57032.0,2304.0,
52952.0,sold,409900.0,4.0,3.0,0.18,155578.0,Rochester,Minnesota,55901.0,3048.0,2022-02-28
37836.0,for_sale,529000.0,3.0,3.0,0.17,832717.0,Moreno Valley,California,92555.0,1762.0,2014-04-10
8433.0,sold,1050000.0,3.0,2.0,0.14,1253456.0,North Hollywood,California,91602.0,1780.0,2022-04-14
40374.0,for_sale,730000.0,4.0,3.0,0.26,1668320.0,Wilmington,Delaware,19803.0,2693.0,1986-06-01
28590.0,sold,335000.0,3.0,2.0,4.7,464744.0,Saint Clair,Missouri,63077.0,1428.0,2021-11-15
55359.0,for_sale,449900.0,3.0,2.0,0.14,1534690.0,Riverview,Florida,33578.0,1769.0,2016-01-07
93643.0,for_sale,525000.0,1.0,1.0,,120990.0,Miami Beach,Florida,33139.0,694.0,2014-08-06
3389.0,for_sale,359900.0,3.0,3.0,0.04,1703166.0,Laurel,Maryland,20724.0,1820.0,2002-10-22
28188.0,sold,1495000.0,3.0,3.0,1.01,1316632.0,Reno,Nevada,89511.0,2886.0,2022-01-31
84481.0,sold,349900.0,4.0,4.0,0.14,748882.0,Richmond,Texas,77469.0,2450.0,2021-11-16
85536.0,for_sale,1399900.0,5.0,5.0,0.6,309110.0,Rockville,Maryland,20850.0,6656.0,2001-01-11
56151.0,for_sale,139976.0,2.0,1.0,0.05,1790631.0,Milwaukee,Wisconsin,53207.0,1018.0,
72968.0,for_sale,155000.0,1.0,1.0,6.0,477258.0,Westville,Florida,32464.0,400.0,2002-05-14
23893.0,for_sale,65000.0,4.0,2.0,0.18,1704562.0,Jackson,Tennessee,38301.0,1062.0,2022-03-17
87683.0,for_sale,115000.0,3.0,2.0,0.1,109486.0,Cleveland,Ohio,44111.0,1249.0,1996-11-14
96722.0,for_sale,825000.0,4.0,4.0,0.64,761018.0,North Topsail Beach,North Carolina,28460.0,1768.0,2020-08-18
43604.0,sold,539900.0,4.0,3.0,0.08,1243781.0,Riverside,California,92505.0,1980.0,2021-11-09
4246.0,for_sale,681000.0,4.0,3.0,0.34,381097.0,Fort Myers,Florida,33912.0,2704.0,2006-08-01
47370.0,sold,439000.0,4.0,2.0,0.17,1466033.0,Riverbank,California,95367.0,1388.0,2022-04-07
94022.0,sold,409370.0,3.0,3.0,,864440.0,Richmond,Virginia,23294.0,2158.0,2021-11-15
1390.0,sold,649900.0,3.0,5.0,0.98,673576.0,Pikeville,Kentucky,41501.0,2908.0,2022-01-03
98034.0,sold,929000.0,3.0,2.0,0.13,523202.0,Pleasant Hill,California,94523.0,1612.0,2022-04-26
84534.0,for_sale,345000.0,3.0,2.0,0.14,1272749.0,Newnan,Georgia,30265.0,2824.0,2020-02-24
53625.0,for_sale,535000.0,2.0,2.0,,1339563.0,Tuscaloosa,Alabama,35401.0,1153.0,
81283.0,for_sale,164900.0,3.0,2.0,0.45,1692475.0,Mountain View,Arkansas,72560.0,1112.0,2020-03-17
79318.0,for_sale,319900.0,3.0,2.0,,539716.0,Titusville,Florida,32780.0,1322.0,
52941.0,for_sale,885000.0,5.0,4.0,0.2,1568752.0,Oyster Bay,New York,11771.0,2248.0,
109914.0,for_sale,489000.0,3.0,3.0,0.63,93173.0,Chocowinity,North Carolina,27817.0,2717.0,2017-05-01
80658.0,for_sale,599000.0,3.0,2.0,0.23,1054229.0,Jacksonville,Oregon,97530.0,1576.0,1997-07-14
22415.0,for_sale,440000.0,5.0,3.0,0.17,1796157.0,Albuquerque,New Mexico,87114.0,3020.0,2005-07-12
39199.0,sold,549000.0,2.0,2.0,0.43,1107130.0,Oakland,California,94619.0,1031.0,2021-12-03
83150.0,sold,429900.0,4.0,1.0,0.28,1707982.0,Framingham,Massachusetts,1701.0,1261.0,2021-11-30
32458.0,for_sale,425000.0,4.0,4.0,0.07,1697909.0,Hilton Head Island,South Carolina,29926.0,1616.0,2014-07-09
22611.0,for_sale,317777.0,3.0,2.0,0.4,59900.0,Hershey,Pennsylvania,17033.0,2831.0,2012-02-24
16752.0,sold,265000.0,1.0,1.0,0.08,1024566.0,Green Valley Lake,California,92341.0,594.0,2022-03-02
82682.0,for_sale,240000.0,3.0,2.0,0.45,304369.0,Hickory,North Carolina,28602.0,2444.0,2019-09-11
18726.0,for_sale,359000.0,4.0,3.0,4.0,1566685.0,Carriere,Mississippi,39426.0,2244.0,
34350.0,for_sale,319000.0,2.0,2.0,0.12,353348.0,Delray Beach,Florida,33484.0,1618.0,2019-09-17
92385.0,for_sale,310000.0,5.0,3.0,0.37,1182577.0,Glendive,Montana,59330.0,3078.0,
8011.0,for_sale,880000.0,3.0,3.0,,1774665.0,Ewa Beach,Hawaii,96706.0,1711.0,2019-09-20
52955.0,for_sale,250000.0,3.0,1.0,5.0,355035.0,Chouteau,Oklahoma,74337.0,1414.0,1993-05-30
76536.0,for_sale,1599990.0,5.0,4.0,0.38,299657.0,Draper,Utah,84020.0,4902.0,2020-11-19
52895.0,for_sale,1125000.0,11.0,5.0,0.07,397092.0,Chicago,Illinois,60657.0,4300.0,2020-02-24
10380.0,for_sale,1097000.0,3.0,4.0,0.26,1697025.0,La Quinta,California,92253.0,2905.0,2017-06-30
92886.0,for_sale,1649500.0,2.0,2.0,0.26,1029095.0,Carmel,California,93923.0,1088.0,2022-04-25
22611.0,for_sale,800000.0,5.0,5.0,0.42,183694.0,Hummelstown,Pennsylvania,17036.0,4583.0,2003-01-31
23972.0,for_sale,1099900.0,6.0,5.0,0.08,944230.0,Houston,Texas,77063.0,5544.0,
53222.0,for_sale,895000.0,4.0,3.0,1.25,430253.0,Naples,Maine,4055.0,3817.0,
81753.0,for_sale,120000.0,2.0,1.0,0.36,947906.0,Lansing,Kansas,66043.0,1050.0,2006-09-06
22611.0,for_sale,90000.0,2.0,1.0,0.09,887010.0,Orlando,Florida,32818.0,832.0,
41182.0,for_sale,2000000.0,6.0,9.0,5.36,788625.0,Springfield,Ohio,45504.0,6996.0,1998-03-27
41672.0,sold,245000.0,2.0,2.0,0.25,1190160.0,Liverpool,New York,13090.0,1902.0,2022-02-09
17418.0,sold,289900.0,2.0,1.0,0.17,291846.0,Desert Hot Springs,California,92240.0,968.0,2022-04-13
6916.0,for_sale,1100000.0,6.0,7.0,0.27,802646.0,Marietta,Georgia,30066.0,6100.0,2008-09-24
36517.0,for_sale,35000.0,2.0,1.0,,1175182.0,Shelton,Washington,98584.0,624.0,
29218.0,for_sale,224900.0,3.0,2.0,1.75,473222.0,Brandon,Mississippi,39042.0,1500.0,
22611.0,sold,675000.0,1.0,1.0,0.89,613780.0,Santa Monica,California,90402.0,868.0,2021-12-14
102214.0,sold,1050000.0,2.0,1.0,0.11,776566.0,Redondo Beach,California,90278.0,1002.0,2022-03-31
58252.0,sold,395850.0,5.0,3.0,0.54,226115.0,Griffin,Georgia,30224.0,3071.0,2022-04-15
78291.0,for_sale,238000.0,3.0,2.0,0.15,1829751.0,Converse,Texas,78109.0,1643.0,
22036.0,sold,370000.0,3.0,3.0,0.2,802084.0,Carrollton,Texas,75006.0,2016.0,2022-04-29
88663.0,for_sale,136000.0,3.0,2.0,0.33,288893.0,Marksville,Louisiana,71351.0,1674.0,
72160.0,for_sale,275000.0,2.0,1.0,0.19,444915.0,Modesto,California,95351.0,1049.0,
78323.0,for_sale,1199900.0,3.0,3.0,,1119459.0,Santa Rosa Beach,Florida,32459.0,1600.0,
78864.0,for_sale,560000.0,2.0,2.0,0.56,25404.0,Boerne,Texas,78006.0,1456.0,
89442.0,for_sale,239900.0,3.0,2.0,,895105.0,Minneapolis,Minnesota,55407.0,1478.0,2018-10-26
